Department,Department_Name,Division,Gender,Base Salary,Overtime Pay,Longevity Pay,Grade
POL,Department of Police,POL 47 PSB 2nd District Patrol,M,97487,3049.94,,P4
POL,Department of Police,POL 47 PSB 2nd District Patrol,F,100900,363.83,,P4
POL,Department of Police,POL 47 PSB 2nd District Patrol,F,105945,27637.72,3645.46,P5
POL,Department of Police,POL 47 PSB 2nd District Patrol,M,100900,1335.71,1706.12,P4
POL,Department of Police,POL 47 PSB 2nd District Patrol,M,100900,23605.83,1706.12,P4
POL,Department of Police,POL 47 PSB 2nd District Patrol,M,100900,3219.42,3471.91,P4
POL,Department of Police,POL 47 PSB 2nd District Patrol,M,100900,145.54,,P4
POL,Department of Police,POL 47 PSB 2nd District Patrol,F,74614,3588.17,4497.76,16
POL,Department of Police,POL 47 PSB 2nd District Patrol,M,100900,,2792.76,P4
POL,Department of Police,POL 47 PSB 2nd District Patrol,F,100900,,3471.91,P4
POL,Department of Police,POL 47 PSB 2nd District Patrol,M,100900,242.03,3471.91,P4
POL,Department of Police,POL 47 PSB 2nd District Patrol,F,100900,,2792.76,P4
POL,Department of Police,POL 47 PSB 2nd District Patrol,M,84953,588.63,,P4
POL,Department of Police,POL 47 PSB 2nd District Patrol,F,72334.25,1731.18,,16
POL,Department of Police,POL 47 PSB 2nd District Patrol,F,82077,,,P4
POL,Department of Police,POL 47 PSB 2nd District Patrol,M,87925,3736.29,,P4
POL,Department of Police,POL 47 PSB 2nd District Patrol,F,87925,12027.18,,P4
POL,Department of Police,POL 47 PSB 2nd District Patrol,M,87925,17293.89,,P4
POL,Department of Police,POL 47 PSB 2nd District Patrol,M,87925,8398.89,,P4
POL,Department of Police,POL 47 PSB 2nd District Patrol,M,76622,7620.68,,P4
POL,Department of Police,POL 47 PSB 2nd District Patrol,M,76622,2889.67,,P4
POL,Department of Police,POL 47 PSB 2nd District Patrol,M,76622,9888.08,,P4
POL,Department of Police,POL 47 PSB 2nd District Patrol,F,76622,1624.64,,P4
POL,Department of Police,POL 47 PSB 2nd District Patrol,M,84953,4231.73,,P4
POL,Department of Police,POL 47 PSB 2nd District Patrol,M,76622,265.27,,P4
POL,Department of Police,POL 47 PSB 2nd District Patrol,M,91005,1943.16,,P4
POL,Department of Police,POL 47 PSB 2nd District Patrol,M,94190,10935.12,,P4
POL,Department of Police,POL 47 PSB 2nd District Patrol,F,82077,6662.58,,P4
POL,Department of Police,POL 47 PSB 2nd District Patrol,F,91005,,,P4
POL,Department of Police,POL 47 PSB 2nd District Patrol,M,94190,129.21,,P4
POL,Department of Police,POL 47 PSB 2nd District Patrol,F,87925,697.5,,P4
POL,Department of Police,POL 47 PSB 2nd District Patrol,M,87925,900.55,,P4
POL,Department of Police,POL 47 PSB 2nd District Patrol,M,100900,519.05,3471.91,P4
POL,Department of Police,POL 47 PSB 2nd District Patrol,M,100900,3602.56,3471.91,P4
POL,Department of Police,POL 47 PSB 2nd District Patrol,F,74614,4132.46,,16
POL,Department of Police,POL 47 PSB 2nd District Patrol,M,97489,291.07,524.96,P4
POL,Department of Police,POL 47 PSB 2nd District Patrol,M,100900,2971.53,950.81,P4
POL,Department of Police,POL 47 PSB 2nd District Patrol,M,100900,,3471.91,P4
POL,Department of Police,POL 47 PSB 2nd District Patrol,M,116536,46445.11,4009.85,A1
POL,Department of Police,POL 47 PSB 2nd District Patrol,M,105945,2466.85,3645.46,P5
POL,Department of Police,POL 47 PSB 2nd District Patrol,M,97489,75.32,1702.57,P4
POL,Department of Police,POL 47 PSB 2nd District Patrol,M,105945,3383.22,3645.46,P5
POL,Department of Police,POL 47 PSB 2nd District Patrol,F,100900,3016.18,3471.91,P4
POL,Department of Police,POL 47 PSB 2nd District Patrol,M,97489,225.95,1702.57,P4
POL,Department of Police,POL 47 PSB 2nd District Patrol,M,105945,17582.21,,P5
POL,Department of Police,POL 47 PSB 2nd District Patrol,M,74614,,1963.68,16
POL,Department of Police,POL 47 PSB 2nd District Patrol,M,116536,4935.54,4009.85,A1
POL,Department of Police,POL 47 PSB 2nd District Patrol,M,58510,703.29,,P4
POL,Department of Police,POL 47 PSB 2nd District Patrol,M,60560,4396.95,,P2
POL,Department of Police,POL 47 PSB 2nd District Patrol,M,54620,78.78,,P4
POL,Department of Police,POL 47 PSB 2nd District Patrol,M,68117,1583.25,,P3
POL,Department of Police,POL 47 PSB 2nd District Patrol,M,78168,13918.41,,P3
POL,Department of Police,POL 47 PSB 2nd District Patrol,M,75526,8810.85,,P3
POL,Department of Police,POL 47 PSB 2nd District Patrol,F,68117,7000.02,,P3
POL,Department of Police,POL 47 PSB 2nd District Patrol,M,65813,3831.07,,P3
POL,Department of Police,POL 47 PSB 2nd District Patrol,F,60261.07,1325.2,,16
POL,Department of Police,POL 47 PSB 2nd District Patrol,M,74028,1020.48,,P4
POL,Department of Police,POL 47 PSB 2nd District Patrol,M,74028,,,P4
POL,Department of Police,POL 47 PSB 2nd District Patrol,F,74028,6057.57,,P4
POL,Department of Police,POL 47 PSB 2nd District Patrol,M,62680,2141.19,,P2
POL,Department of Police,POL 47 PSB 2nd District Patrol,M,74028,,,P4
POL,Department of Police,POL 47 PSB 2nd District Patrol,F,74028,2964.35,,P4
POL,Department of Police,POL 47 PSB 2nd District Patrol,M,68117,19530.78,,P3
POL,Department of Police,POL 47 PSB 2nd District Patrol,M,68117,196.53,,P4
POL,Department of Police,POL 47 PSB 2nd District Patrol,F,70502,,,P3
POL,Department of Police,POL 47 PSB 2nd District Patrol,M,84953,1753.44,,P4
POL,Department of Police,POL 47 PSB 2nd District Patrol,M,84953,3106.35,,P4
POL,Department of Police,POL 47 PSB 2nd District Patrol,F,84953,2287.98,,P4
POL,Department of Police,POL 47 PSB 2nd District Patrol,M,84953,1891.27,,P4
POL,Department of Police,POL 47 PSB 2nd District Patrol,M,89199,300.25,,P5
POL,Department of Police,POL 47 PSB 2nd District Patrol,M,84953,200.19,,P4
POL,Department of Police,POL 47 PSB 2nd District Patrol,M,84953,3684.5,,P4
POL,Department of Police,POL 47 PSB 2nd District Patrol,M,84953,,,P4
POL,Department of Police,POL 47 PSB 2nd District Patrol,M,84953,3565.09,,P4
POL,Department of Police,POL 47 PSB 2nd District Patrol,M,74028,2147.1,,P4
POL,Department of Police,POL 47 PSB 2nd District Patrol,M,74028,8990.54,,P4
POL,Department of Police,POL 47 PSB 2nd District Patrol,M,105945,497.96,2932.36,P5
POL,Department of Police,POL 47 PSB 2nd District Patrol,M,116536,4837.88,1970.54,A1
POL,Department of Police,POL 47 PSB 2nd District Patrol,M,105945,4136.74,3645.46,P5
POL,Department of Police,POL 47 PSB 2nd District Community Operations,M,116536,1749.59,1970.54,A1
POL,Department of Police,POL 47 PSB 2nd District Community Operations,F,100900,4413.5,3471.91,P4
POL,Department of Police,POL 47 PSB 2nd District Community Operations,M,100900,,1706.12,P4
POL,Department of Police,POL 47 PSB 2nd District Community Operations,M,100900,,1706.12,P4
POL,Department of Police,POL 47 PSB 2nd District Community Operations,F,100900,5714.45,2792.76,P4
POL,Department of Police,POL 47 PSB 1st District Station,M,153808,11155.97,,A2
POL,Department of Police,POL 47 PSB 1st District Station,F,175720.18,3288.92,,A3
POL,Department of Police,POL 47 PSB 1st District Station,M,153808,2424.53,,A2
POL,Department of Police,POL 47 PSB 1st District Station,M,153808,6922.45,,A2
POL,Department of Police,POL 47 PSB 1st District Station,F,67095.67,4838.22,,16
POL,Department of Police,POL 47 PSB 1st District Station,M,85615,2550.83,,N19
POL,Department of Police,POL 47 PSB 1st District Special Assignment Team,M,100900,868.73,950.81,P4
POL,Department of Police,POL 47 PSB 1st District Special Assignment Team,M,97489,,534.14,P4
POL,Department of Police,POL 47 PSB 1st District Special Assignment Team,F,105945,16249.18,2932.36,P5
POL,Department of Police,POL 47 PSB 1st District Special Assignment Team,M,94190,15302.08,,P4
POL,Department of Police,POL 47 PSB 1st District Special Assignment Team,M,91005,16106.03,,P4
POL,Department of Police,POL 47 PSB 1st District Special Assignment Team,M,94190,,,P4
POL,Department of Police,POL 47 PSB 1st District Special Assignment Team,M,116536,34654.9,4009.85,A1
POL,Department of Police,POL 47 PSB 1st District Special Assignment Team,M,84953,16853.77,,P4
POL,Department of Police,POL 47 PSB 1st District Patrol,M,76622,4998.69,,P4
POL,Department of Police,POL 47 PSB 1st District Patrol,M,76622,16321.5,,P4
POL,Department of Police,POL 47 PSB 1st District Patrol,M,91005,281.87,,P4
POL,Department of Police,POL 47 PSB 1st District Patrol,M,69106,,,P4
POL,Department of Police,POL 47 PSB 1st District Patrol,M,76622,4961.26,,P4
POL,Department of Police,POL 47 PSB 1st District Patrol,F,76622,2168.41,,P4
POL,Department of Police,POL 47 PSB 1st District Patrol,F,100900,12097,2792.76,P4
POL,Department of Police,POL 47 PSB 1st District Patrol,M,100900,8542.14,3471.91,P4
POL,Department of Police,POL 47 PSB 1st District Patrol,M,100900,645.41,3471.91,P4
POL,Department of Police,POL 47 PSB 1st District Patrol,M,100900,4249.41,3471.91,P4
POL,Department of Police,POL 47 PSB 1st District Patrol,M,100900,429.48,,P4
POL,Department of Police,POL 47 PSB 1st District Patrol,M,100900,18248.54,3471.91,P4
POL,Department of Police,POL 47 PSB 1st District Patrol,F,100900,491.12,2792.76,P4
POL,Department of Police,POL 47 PSB 1st District Patrol,M,100900,5256.29,2661.52,P4
POL,Department of Police,POL 47 PSB 1st District Patrol,M,100900,6347.92,950.81,P4
POL,Department of Police,POL 47 PSB 1st District Patrol,M,100900,4866.73,,P4
POL,Department of Police,POL 47 PSB 1st District Patrol,M,100900,6602.65,3471.91,P4
POL,Department of Police,POL 47 PSB 1st District Patrol,M,100900,8431.69,2792.76,P4
POL,Department of Police,POL 47 PSB 1st District Patrol,M,100900,94.15,3471.91,P4
POL,Department of Police,POL 47 PSB 1st District Patrol,M,105945,4065.23,1848.74,P5
POL,Department of Police,POL 47 PSB 1st District Patrol,M,100900,5378.44,1841.95,P4
POL,Department of Police,POL 47 PSB 1st District Patrol,M,100900,,1841.95,P4
POL,Department of Police,POL 47 PSB 1st District Patrol,M,100900,11952.11,3471.91,P4
POL,Department of Police,POL 47 PSB 1st District Patrol,M,100900,4461.09,950.81,P4
POL,Department of Police,POL 47 PSB 1st District Patrol,M,100900,242.04,3471.91,P4
POL,Department of Police,POL 47 PSB 1st District Patrol,M,116536,7548.7,4009.85,A1
POL,Department of Police,POL 47 PSB 1st District Patrol,M,100900,18575.76,3471.91,P4
POL,Department of Police,POL 47 PSB 1st District Patrol,M,100900,380.54,3471.91,P4
POL,Department of Police,POL 47 PSB 1st District Patrol,M,87927,,,P4
POL,Department of Police,POL 47 PSB 1st District Patrol,M,100900,25.47,,P4
POL,Department of Police,POL 47 PSB 1st District Patrol,M,100900,,3471.91,P4
POL,Department of Police,POL 47 PSB 1st District Patrol,M,116536,10734.49,1098.16,A1
POL,Department of Police,POL 47 PSB 1st District Patrol,M,116536,1740.67,,A1
POL,Department of Police,POL 47 PSB 1st District Patrol,M,116536,8917.85,4009.85,A1
POL,Department of Police,POL 47 PSB 1st District Patrol,M,105945,2112.42,3645.46,P5
POL,Department of Police,POL 47 PSB 1st District Patrol,M,100900,,3471.91,P4
POL,Department of Police,POL 47 PSB 1st District Patrol,M,100900,,1706.12,P4
POL,Department of Police,POL 47 PSB 1st District Patrol,M,100900,13379.53,1706.12,P4
POL,Department of Police,POL 47 PSB 1st District Patrol,F,100900,5842.53,2661.52,P4
POL,Department of Police,POL 47 PSB 1st District Patrol,M,100900,,1706.12,P4
POL,Department of Police,POL 47 PSB 1st District Patrol,M,100900,,3471.91,P4
POL,Department of Police,POL 47 PSB 1st District Patrol,M,100900,13918.99,3471.91,P4
POL,Department of Police,POL 47 PSB 1st District Patrol,M,116536,3445.92,1098.16,A1
POL,Department of Police,POL 47 PSB 1st District Patrol,M,100900,18850,1706.12,P4
POL,Department of Police,POL 47 PSB 1st District Patrol,M,105945,23037.42,3645.46,P5
POL,Department of Police,POL 47 PSB 1st District Patrol,M,87925,1202.91,,P4
POL,Department of Police,POL 47 PSB 1st District Patrol,M,87925,15838.79,,P4
POL,Department of Police,POL 47 PSB 1st District Patrol,F,91005,3179.8,,P4
POL,Department of Police,POL 47 PSB 1st District Patrol,M,79303,13341.16,,P4
POL,Department of Police,POL 47 PSB 1st District Patrol,M,91005,,,P4
POL,Department of Police,POL 47 PSB 1st District Patrol,M,91005,4625.56,,P4
POL,Department of Police,POL 47 PSB 1st District Patrol,M,94190,156.51,,P4
POL,Department of Police,POL 47 PSB 1st District Patrol,M,84953,,,P4
POL,Department of Police,POL 47 PSB 1st District Patrol,F,87925,,,P4
POL,Department of Police,POL 47 PSB 1st District Patrol,F,74614,1814.8,2216.16,16
POL,Department of Police,POL 47 PSB 1st District Patrol,M,97489,,1049.92,P4
POL,Department of Police,POL 47 PSB 1st District Patrol,M,100900,1011.71,950.81,P4
POL,Department of Police,POL 47 PSB 1st District Patrol,M,100900,2077.42,1706.12,P4
POL,Department of Police,POL 47 PSB 1st District Patrol,M,100900,9603.66,,P4
POL,Department of Police,POL 47 PSB 1st District Patrol,M,100900,1452.17,3471.91,P4
POL,Department of Police,POL 47 PSB 1st District Patrol,M,100900,21515.31,950.81,P4
POL,Department of Police,POL 47 PSB 1st District Patrol,F,100900,839.42,1706.12,P4
POL,Department of Police,POL 47 PSB 1st District Patrol,F,74614,8853.72,2216.16,16
POL,Department of Police,POL 47 PSB 1st District Patrol,M,105945,446.22,3645.46,P5
POL,Department of Police,POL 47 PSB 1st District Patrol,F,50450,297.18,,P4P
POL,Department of Police,POL 47 PSB 1st District Patrol,M,71963.31,11414.87,,16
POL,Department of Police,POL 47 PSB 1st District Patrol,M,100900,1147.36,,P4
POL,Department of Police,POL 47 PSB 1st District Patrol,M,100900,740.06,,P4
POL,Department of Police,POL 47 PSB 1st District Patrol,M,100900,4303.16,1706.12,P4
POL,Department of Police,POL 47 PSB 1st District Patrol,F,100900,1342.16,3471.91,P4
POL,Department of Police,POL 47 PSB 1st District Patrol,M,105945,12330.79,3645.46,P5
POL,Department of Police,POL 47 PSB 1st District Patrol,M,100900,20.17,3471.91,P4
POL,Department of Police,POL 47 PSB 1st District Patrol,M,116536,130.48,4009.85,A1
POL,Department of Police,POL 47 PSB 1st District Patrol,M,100900,,,P4
POL,Department of Police,POL 47 PSB 1st District Patrol,F,50450,112.98,1736.02,P4P
POL,Department of Police,POL 47 PSB 1st District Patrol,M,100900,99.51,3471.91,P4
POL,Department of Police,POL 47 PSB 1st District Patrol,M,105945,469.34,1791.4,P5
POL,Department of Police,POL 47 PSB 1st District Patrol,M,60560,1053.55,,P2
POL,Department of Police,POL 47 PSB 1st District Patrol,M,68117,834.3,,P3
POL,Department of Police,POL 47 PSB 1st District Patrol,M,68117,991.63,,P3
POL,Department of Police,POL 47 PSB 1st District Patrol,F,62680,257.92,,P2
POL,Department of Police,POL 47 PSB 1st District Patrol,F,65813,525.98,,P3
POL,Department of Police,POL 47 PSB 1st District Patrol,M,65813,1130.11,,P3
POL,Department of Police,POL 47 PSB 1st District Patrol,M,70502,229.3,,P3
POL,Department of Police,POL 47 PSB 1st District Patrol,M,64220,,,16
POL,Department of Police,POL 47 PSB 1st District Patrol,M,68117,2505.35,,P3
POL,Department of Police,POL 47 PSB 1st District Patrol,M,78168,,,P3
POL,Department of Police,POL 47 PSB 1st District Patrol,F,84953,6891.22,,P4
POL,Department of Police,POL 47 PSB 1st District Patrol,F,84953,15208.37,,P4
POL,Department of Police,POL 47 PSB 1st District Patrol,M,87925,88.79,,P4
POL,Department of Police,POL 47 PSB 1st District Patrol,M,100900,679.28,,P4
POL,Department of Police,POL 47 PSB 1st District Patrol,M,97489,,3104.68,P4
POL,Department of Police,POL 47 PSB 1st District Community Operations,M,100900,,3471.91,P4
POL,Department of Police,POL 47 PSB 1st District Community Operations,F,100900,433.02,3471.91,P4
POL,Department of Police,POL 47 PSB 1st District Community Operations,M,116536,,1098.16,A1
POL,Department of Police,POL 47 PSB 1st District Community Operations,M,100900,8509.61,3471.91,P4
POL,Department of Police,POL 47 PSB 1st District Community Operations,F,100900,883.08,,P4
POL,Department of Police,POL 47 PSB 1st District Community Operations,M,100900,,950.81,P4
POL,Department of Police,POL 47 Patrol Services Bureau,M,153808,,,A2
POL,Department of Police,POL 47 Patrol Services Bureau,F,78103,220.44,,N17
POL,Department of Police,POL 47 Patrol Services Bureau,M,201000,,,EX3
POL,Department of Police,POL 47 MSB Training and Education Division,M,75675,,,N21
POL,Department of Police,POL 47 MSB Training and Education Division,M,100900,3331.65,1706.12,P4
POL,Department of Police,POL 47 MSB Training and Education Division,F,62680,45.21,,P1
POL,Department of Police,POL 47 MSB Training and Education Division,M,116536,16610.51,4009.85,A1
POL,Department of Police,POL 47 MSB Training and Education Division,M,97489,,1709.25,P4
POL,Department of Police,POL 47 MSB Training and Education Division,M,100900,8090.35,2792.76,P4
POL,Department of Police,POL 47 MSB Training and Education Division,M,100900,,3471.91,P4
POL,Department of Police,POL 47 MSB Training and Education Division,M,116536,372.72,4009.85,A1
POL,Department of Police,POL 47 MSB Training and Education Division,F,103034,,3068.96,23
POL,Department of Police,POL 47 MSB Training and Education Division,M,100900,,3471.91,P4
POL,Department of Police,POL 47 MSB Training and Education Division,M,100900,1807.18,,P4
POL,Department of Police,POL 47 MSB Training and Education Division,M,105945,2829.8,3645.46,P5
POL,Department of Police,POL 47 MSB Training and Education Division,M,116536,5184.49,2127.42,A1
POL,Department of Police,POL 47 MSB Training and Education Division,F,92211,,,N21
POL,Department of Police,POL 47 MSB Training and Education Division,F,100900,1188.66,,P4
POL,Department of Police,POL 47 MSB Training and Education Division,M,100900,4574.09,,P4
POL,Department of Police,POL 47 MSB Training and Education Division,F,100900,761.08,3471.91,P4
POL,Department of Police,POL 47 MSB Training and Education Division,M,116536,5265.55,4009.85,A1
POL,Department of Police,POL 47 MSB Training and Education Division,F,100900,5838.72,3471.91,P4
POL,Department of Police,POL 47 MSB Training and Education Division,M,112596,,1264.65,A1
POL,Department of Police,POL 47 MSB Training and Education Division,M,94190,7617.91,,P4
POL,Department of Police,POL 47 MSB Training and Education Division,F,67143,4531.63,,P1
POL,Department of Police,POL 47 MSB Training and Education Division,M,94190,3349.8,,P4
POL,Department of Police,POL 47 MSB Training and Education Division,M,94190,10634.58,,P4
POL,Department of Police,POL 47 MSB Training and Education Division,M,97487,6978.29,,P4
POL,Department of Police,POL 47 MSB Training and Education Division,M,89653,95.16,,20
POL,Department of Police,POL 47 MSB Training and Education Division,F,94190,3000.93,,P4
POL,Department of Police,POL 47 MSB Training and Education Division,M,94190,10445.74,,P4
POL,Department of Police,POL 47 MSB Training and Education Division,F,146767.42,2782.39,616.9,A2
POL,Department of Police,POL 47 MSB Training and Education Division,M,100900,7401.44,3471.91,P4
POL,Department of Police,POL 47 MSB Training and Education Division,F,94666.6,334.02,2818.24,16
POL,Department of Police,POL 47 MSB Training and Education Division,M,170618.02,1309.99,,A3
POL,Department of Police,POL 47 MSB Training and Education Division,M,100900,6499.29,1706.12,P4
POL,Department of Police,POL 47 MSB Training and Education Division,M,116536,13493.48,4009.85,A1
POL,Department of Police,POL 47 MSB Training and Education Division,M,105945,541.2,1791.4,P5
POL,Department of Police,POL 47 MSB Training and Education Division,F,81770,462.04,,18
POL,Department of Police,POL 47 MSB Training and Education Division,M,100900,1027.35,3471.91,P4
POL,Department of Police,POL 47 MSB Training and Education Division,M,100900,1054.4,3471.91,P4
POL,Department of Police,POL 47 MSB Training and Education Division,M,112596,260.97,655.46,A1
POL,Department of Police,POL 47 MSB Training and Education Division,M,54620,,,P1
POL,Department of Police,POL 47 MSB Training and Education Division,F,17415.5,,,10
POL,Department of Police,POL 47 MSB Training and Education Division,F,58510,,,P1
POL,Department of Police,POL 47 MSB Training and Education Division,M,54620,,,P1
POL,Department of Police,POL 47 MSB Training and Education Division,M,54620,,,P1
POL,Department of Police,POL 47 MSB Training and Education Division,M,54620,,,P1
POL,Department of Police,POL 47 MSB Training and Education Division,M,58510,,,P1
POL,Department of Police,POL 47 MSB Training and Education Division,M,58510,,,P1
POL,Department of Police,POL 47 MSB Training and Education Division,F,58510,253.17,,P1
POL,Department of Police,POL 47 MSB Training and Education Division,M,58510,,,P1
POL,Department of Police,POL 47 MSB Training and Education Division,M,58510,759.52,,P1
POL,Department of Police,POL 47 MSB Training and Education Division,F,58510,63.3,,P1
POL,Department of Police,POL 47 MSB Training and Education Division,M,64872,262.04,,P1
POL,Department of Police,POL 47 MSB Training and Education Division,F,58510,,,P1
POL,Department of Police,POL 47 MSB Training and Education Division,M,58510,,,P1
POL,Department of Police,POL 47 MSB Training and Education Division,M,58510,253.17,,P1
POL,Department of Police,POL 47 MSB Training and Education Division,M,58510,189.88,,P1
POL,Department of Police,POL 47 MSB Training and Education Division,M,58510,42.2,,P1
POL,Department of Police,POL 47 MSB Training and Education Division,F,58510,379.76,,P1
POL,Department of Police,POL 47 MSB Training and Education Division,M,58510,253.17,,P1
POL,Department of Police,POL 47 MSB Training and Education Division,F,58510,,,P1
POL,Department of Police,POL 47 MSB Training and Education Division,F,58510,,,P1
POL,Department of Police,POL 47 MSB Training and Education Division,F,58510,327.02,,P1
POL,Department of Police,POL 47 MSB Training and Education Division,M,58510,337.56,,P1
POL,Department of Police,POL 47 MSB Training and Education Division,F,58510,1329.16,,P1
POL,Department of Police,POL 47 MSB Training and Education Division,F,58510,949.4,,P1
POL,Department of Police,POL 47 MSB Training and Education Division,F,58510,752.77,,P1
POL,Department of Police,POL 47 MSB Training and Education Division,F,58510,590.73,,P1
POL,Department of Police,POL 47 MSB Training and Education Division,M,58510,,,P1
POL,Department of Police,POL 47 MSB Training and Education Division,M,58510,,,P1
POL,Department of Police,POL 47 MSB Training and Education Division,F,58510,84.39,,P1
POL,Department of Police,POL 47 MSB Training and Education Division,M,58510,253.17,,P1
POL,Department of Police,POL 47 MSB Training and Education Division,F,58510,337.56,,P1
POL,Department of Police,POL 47 MSB Training and Education Division,M,58510,738.42,,P1
POL,Department of Police,POL 47 MSB Training and Education Division,M,54620,,,P1
POL,Department of Police,POL 47 MSB Training and Education Division,M,18896.51,,,10
POL,Department of Police,POL 47 MSB Training and Education Division,M,18896.51,,,10
POL,Department of Police,POL 47 MSB Training and Education Division,F,18896.51,,,10
POL,Department of Police,POL 47 MSB Training and Education Division,M,60560,636.57,,P1
POL,Department of Police,POL 47 MSB Training and Education Division,F,58510,1313.84,,P1
POL,Department of Police,POL 47 MSB Training and Education Division,M,89653,10039.47,,20
POL,Department of Police,POL 47 MSB Training and Education Division,M,89653,128.1,,20
POL,Department of Police,POL 47 MSB Training and Education Division,M,18025.04,,,10
POL,Department of Police,POL 47 MSB Training and Education Division,F,17416,,,10
POL,Department of Police,POL 47 MSB Training and Education Division,M,89653,11295.85,,20
POL,Department of Police,POL 47 MSB Training and Education Division,F,116536,5133.7,2127.41,A1
POL,Department of Police,POL 47 MSB Personnel Division Recruitment Section,M,100900,3361.59,3471.91,P4
POL,Department of Police,POL 47 MSB Personnel Division Recruitment Section,F,79303,9094.01,,P4
POL,Department of Police,POL 47 MSB Personnel Division Recruitment Section,M,116536,5396.3,,A1
POL,Department of Police,POL 47 MSB Personnel Division Recruitment Section,F,100900,1253.29,3471.91,P4
POL,Department of Police,POL 47 MSB Personnel Division Recruitment Section,F,97489,1055.13,1837.36,P4
POL,Department of Police,POL 47 MSB Personnel Division Polygraph Section,M,116536,93.18,4009.85,A1
POL,Department of Police,POL 47 MSB Personnel Division Background Section,M,93895,,2794.4,21
POL,Department of Police,POL 47 MSB Personnel Division Background Section,M,92211,,438.9,21
POL,Department of Police,POL 47 MSB Personnel Division Background Section,M,93895,,,21
POL,Department of Police,POL 47 MSB Personnel Division Background Section,M,92211,,,21
POL,Department of Police,POL 47 MSB Personnel Division Background Section,M,93895,2052.51,,21
POL,Department of Police,POL 47 MSB Personnel Division Background Section,M,93895,399,,21
POL,Department of Police,POL 47 MSB Personnel Division Background Section,F,113091,,,N25
POL,Department of Police,POL 47 MSB Personnel Division Background Section,M,85500,,,21
POL,Department of Police,POL 47 MSB Personnel Division Background Section,M,89500,,,21
POL,Department of Police,POL 47 MSB Personnel Division Background Section,M,93895,,,21
POL,Department of Police,POL 47 MSB Personnel Division Background Section,M,93895,,,21
POL,Department of Police,POL 47 MSB Personnel Division Background Section,M,93895,299.25,,21
POL,Department of Police,POL 47 MSB Personnel Division Background Section,M,93895,,5672,21
POL,Department of Police,POL 47 MSB Personnel Division Administration,M,88118.3,1598.29,,N21
POL,Department of Police,POL 47 MSB Personnel Division Administration,F,113091,,,N25
POL,Department of Police,POL 47 MSB Personnel Division Administration,F,103034,,2045.92,N23
POL,Department of Police,POL 47 MSB Personnel Division Administration,F,82954,1106.77,,N23
POL,Department of Police,POL 47 MSB Personnel Division Administration,M,82954,,,N23
POL,Department of Police,POL 47 MSB Personnel Division Administration,F,82954,,,N23
POL,Department of Police,POL 47 MSB Personnel Division Administration,M,88667.47,219.55,,N23
POL,Department of Police,POL 47 MSB Personnel Division Administration,F,103034,,,N23
POL,Department of Police,POL 47 MSB Personnel Division,F,148607,,,M3
POL,Department of Police,POL 47 MSB Personnel Division,M,100900,,3471.91,P4
POL,Department of Police,POL 47 MSB Personnel Division,F,100050.8,1455.41,,23
POL,Department of Police,POL 47 MSB Personnel Division,M,81770,,,N18
POL,Department of Police,POL 47 MSB Management and Budget Division Vehicle Recovery Section,M,49269.39,1741.09,,16
POL,Department of Police,POL 47 MSB Management and Budget Division Vehicle Recovery Section,F,105945,774.94,1791.4,P5
POL,Department of Police,POL 47 MSB Management and Budget Division Vehicle Recovery Section,F,65109,9270.02,1931.2,13
POL,Department of Police,POL 47 MSB Management and Budget Division Vehicle Recovery Section,M,116536,38598.09,4009.85,A1
POL,Department of Police,POL 47 MSB Management and Budget Division Vehicle Recovery Section,M,67000,2174.35,,16
POL,Department of Police,POL 47 MSB Management and Budget Division Vehicle Recovery Section,F,80086,7422.67,659.98,N18
POL,Department of Police,POL 47 MSB Management and Budget Division Vehicle Recovery Section,M,49269.39,11570.64,,16
POL,Department of Police,POL 47 MSB Management and Budget Division Procurement and Logistics,M,48314.2,67.26,,13
POL,Department of Police,POL 47 MSB Management and Budget Division Procurement and Logistics,M,59456.23,,,N19
POL,Department of Police,POL 47 MSB Management and Budget Division Fleet Management Section,M,153808,,,A2
POL,Department of Police,POL 47 MSB Management and Budget Division Fleet Management Section,M,103034,9859.6,,N23
POL,Department of Police,POL 47 MSB Management and Budget Division False Alarm Reduction Unit,F,81770,4481.74,,18
POL,Department of Police,POL 47 MSB Management and Budget Division False Alarm Reduction Unit,M,113091,,,N25
POL,Department of Police,POL 47 MSB Management and Budget Division False Alarm Reduction Unit,F,93895,7660.93,2794.4,21
POL,Department of Police,POL 47 MSB Management and Budget Division False Alarm Reduction Unit,M,58553.36,,,16
POL,Department of Police,POL 47 MSB Management and Budget Division False Alarm Reduction Unit,M,64839.75,16220.6,,16
POL,Department of Police,POL 47 MSB Management and Budget Division,F,82954,,,N23
POL,Department of Police,POL 47 MSB Management and Budget Division,F,111407,,,25
POL,Department of Police,POL 47 MSB Management and Budget Division,M,102269.92,280.19,,N23
POL,Department of Police,POL 47 MSB Management and Budget Division,F,58199.72,249.42,,16
POL,Department of Police,POL 47 MSB Management and Budget Division,F,118509,2001.2,,N26
POL,Department of Police,POL 47 MSB Management and Budget Division,F,99374.94,,,23
POL,Department of Police,POL 47 MSB Management and Budget Division,F,93895,,1862.88,N21
POL,Department of Police,POL 47 MSB Management and Budget Division,F,74614,236.7,430.8,16
POL,Department of Police,POL 47 MSB Management and Budget Division,F,113091,437.08,2247.68,N25
POL,Department of Police,POL 47 MSB Management and Budget Division,F,113091,,1436.16,25
