Department,Department Name,Division,Gender,Base Salary,2021 Overtime Pay,2021 Longevity Pay,Grade
DOT,Department of Transportation,Highway Services,M,43805.97,9100.26,,14
DOT,Department of Transportation,Transportation Planning and Design Section,M,81569.64,9099.8,,23
DOT,Department of Transportation,Transportation Technical Center,M,80086,9084.66,,18
DOT,Department of Transportation,Transit Silver Spring Ride On,M,58060.91,9071.89,,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,48884.49,9068.32,,15
DOT,Department of Transportation,Highway Services,M,43805.97,9048.67,,14
DOT,Department of Transportation,Highway Services,F,40893,9047.69,,14
DOT,Department of Transportation,Transit Silver Spring Ride On,M,66821.25,9017.27,,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,56097.49,8986.15,,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,45634.8,8962.62,,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,69604,8949.24,,15
DOT,Department of Transportation,Transit Silver Spring Ride On,F,52367.1,8933.18,,15
DOT,Department of Transportation,Highway Services,M,66446,8921.6,4017.52,14
DOT,Department of Transportation,Transit Gaithersburg Ride On,F,50596.23,8919.22,,15
DOT,Department of Transportation,Highway Services,M,64109.11,8911.39,,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,50596.22,8911.18,,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,58060.91,8871.24,,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,F,69604,8852.56,2073.76,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,45634.78,8750.94,,15
DOT,Department of Transportation,Highway Services,M,45743.43,8695.46,,14
DOT,Department of Transportation,Highway Services,M,44196.97,8694.92,,14
DOT,Department of Transportation,Transit Silver Spring Ride On,M,52367.1,8663.4,,15
DOT,Department of Transportation,DOT 50 Highway Services,M,52734,8652.66,3028.07,9
DOT,Department of Transportation,Transit Silver Spring Ride On,M,47231.51,8650.88,,15
DOT,Department of Transportation,Highway Services,M,69604,8626.84,2073.76,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,48884.5,8598.71,,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,69604,8597.23,2073.76,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,42601,8590.13,,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,56097.49,8581.1,,15
DOT,Department of Transportation,DOT 50 Transit Silver Spring Ride On,M,50595.83,8573.17,,15
DOT,Department of Transportation,DOT 50 Highway Services,M,48569.11,8568.06,,14
DOT,Department of Transportation,Highway Services,M,52028.77,8502.82,,14
DOT,Department of Transportation,Transit Silver Spring Ride On,M,61453.99,8499.42,,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,48884.49,8492.67,,15
DOT,Department of Transportation,Highway Administration,M,76728.5,8475.7,,22
DOT,Department of Transportation,Transit Nicholson Ride On,M,69604,8411.81,,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,61452.96,8392.83,,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,F,45634.8,8369.21,,15
DOT,Department of Transportation,Highway Services,M,50996.91,8362.06,,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,44091.59,8360.74,,15
FRS,Fire and Rescue Services,Station 32,M,70046,565.06,,F2
DOT,Department of Transportation,Transit Silver Spring Ride On,M,45634.8,8359.54,,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,52367.1,8346.3,,15
DOT,Department of Transportation,Highway Services,M,66446,8304.62,,14
DOT,Department of Transportation,Highway Services,M,53850.02,8280.81,,14
DOT,Department of Transportation,Transit Silver Spring Ride On,F,56097.49,8273.53,,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,50596.23,8269.15,,15
DOT,Department of Transportation,Highway Services,M,66446,8263.86,1980.16,14
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,56097.49,8249.75,,15
DOT,Department of Transportation,Transportation Management,M,47598.1,8247,,15
DOT,Department of Transportation,Highway Administration,M,81196.47,8240.04,,25
DOT,Department of Transportation,Transit Silver Spring Ride On,M,61453.99,8238.69,,15
DOT,Department of Transportation,Transportation Construction Section,M,101350,8212.37,6127.68,23
DOT,Department of Transportation,Transit Silver Spring Ride On,M,69604,8209.25,4207.84,15
DOT,Department of Transportation,Transit Safety and Instruction,M,83460.56,8185.83,,21
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,45634.8,8172.39,,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,68135.51,8172.27,,15
DOT,Department of Transportation,Transportation Technical Center,M,62358.38,8165.58,,18
DOT,Department of Transportation,Transit Silver Spring Ride On,M,92211,8162.86,,21
DOT,Department of Transportation,Sign and Marking Shop,M,70518.06,8155.62,,21
DOT,Department of Transportation,Transit Nicholson Ride On,M,69604,8147.08,1440.16,15
DOT,Department of Transportation,Highway Services,M,69604,8131.96,,15
DOT,Department of Transportation,Highway Services,M,43805.97,8107.39,,14
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,50596.22,8088.07,,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,45634.8,8074.76,,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,44091.59,7954.12,,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,69604,7950.93,80.32,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,54200.48,7942.13,,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,50596.22,7940.16,,15
DOT,Department of Transportation,DOT 50 Transit Gaithersburg Ride On,F,48884.5,7924.78,,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,53551.9,7900.02,,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,58060.11,7860.74,,15
DOT,Department of Transportation,Transit Nicholson Ride On,M,69604,7845.21,2073.76,15
DOT,Department of Transportation,Highway Services,M,47344.96,7811.94,,14
DOT,Department of Transportation,Highway Services,M,80086,7792.09,1591.2,18
DOT,Department of Transportation,Transit Silver Spring Ride On,F,50596.23,7741.58,,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,45634.8,7732.27,,15
DOT,Department of Transportation,Traffic Engineering and Operations Management Services,F,101350,7729.94,,23
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,48884.49,7700.32,,15
DOT,Department of Transportation,Highway Services,M,80086,7687.76,1591.2,18
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,47231.51,7671.94,,15
DOT,Department of Transportation,Traffic Engineering Design and Operations,M,69656.66,7593.28,,22
DOT,Department of Transportation,DOT 50 Highway Services,F,80086,7588.56,4654.64,18
DOT,Department of Transportation,Transit Silver Spring Ride On,M,69604,7562.52,4207.84,15
DOT,Department of Transportation,Sign and Marking Shop,M,62916.67,7542.42,,14
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,54200.48,7520.78,,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,45634.8,7518.55,,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,52367.1,7511.87,,15
DOT,Department of Transportation,Highway Services,M,52029,7498.98,,14
DOT,Department of Transportation,DOT 50 Highway Services,M,64109.23,7498.14,,15
DOT,Department of Transportation,Highway Services,M,72930,7493.32,2172.56,16
DOT,Department of Transportation,Transit Nicholson Ride On,M,61453.99,7470.03,,15
DOT,Department of Transportation,Traffic Engineering Studies Section,M,80086,7468.29,,18
DOT,Department of Transportation,Transit Silver Spring Ride On,F,45634.8,7460.62,,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,61453.99,7450.76,,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,56097.49,7440.94,,15
DOT,Department of Transportation,Highway Services,M,50269.03,7439.34,,14
DOT,Department of Transportation,Transportation Technical Center,M,87969,7437.19,5318.56,20
DOT,Department of Transportation,Transit Silver Spring Ride On,M,52367.1,7423.76,,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,48884.42,7409.78,,15
DOT,Department of Transportation,Transit Safety and Instruction,F,52634.93,7404.46,,19
DOT,Department of Transportation,Transit Silver Spring Ride On,M,69157.53,7404.24,,15
DOT,Department of Transportation,Transit Nicholson Ride On,F,69604,7385.23,,15
DOT,Department of Transportation,Highway Services,M,47344.96,7379.71,,14
DOT,Department of Transportation,Transit Silver Spring Ride On,M,45634.8,7343.88,,15
DOT,Department of Transportation,Transportation Technical Center,M,80086,7331.76,2386.8,18
DOT,Department of Transportation,Transit Gaithersburg Ride On,F,50595.83,7273.23,,15
DOT,Department of Transportation,Highway Services,F,66446,7255.51,997.36,14
DOT,Department of Transportation,Transit Nicholson Ride On,M,50595.83,7253.95,,15
DOT,Department of Transportation,Parking Management Engineering and Capital Project Management,M,69604,7251.55,,15
DOT,Department of Transportation,DOT 50 Highway Services,M,42324.61,7243.26,,14
DOT,Department of Transportation,Transit Silver Spring Ride On,M,63604.88,7234.58,,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,54200.48,7230.14,,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,45634.8,7223.9,,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,47231.51,7142.9,,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,F,55655.85,7110.46,,17
DOT,Department of Transportation,Transit Silver Spring Ride On,M,56097.49,7082.72,,15
DOT,Department of Transportation,Highway Services,M,69604,7082.66,3556.32,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,47231.51,7071.43,,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,69604,7010.26,2239.2,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,50596.23,7008.98,,15
DOT,Department of Transportation,Highway Services,F,44196.96,6988.64,,14
DOT,Department of Transportation,Transit Silver Spring Ride On,F,66821.26,6984.11,,15
DOT,Department of Transportation,Transit Nicholson Ride On,F,69604,6965.64,2073.76,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,58060.12,6965.53,,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,48884.42,6962.06,,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,48884.42,6948.74,,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,45634.8,6942.84,,15
DOT,Department of Transportation,DOT 50 Transit Silver Spring Ride On,M,44092.04,6936.46,,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,44091.59,6894.04,,15
DOT,Department of Transportation,Transportation Technical Center,M,87969,6865.21,5318.56,20
DOT,Department of Transportation,Transit Nicholson Ride On,F,61466.16,6838.09,,15
DOT,Department of Transportation,Highway Services,M,66446,6816.45,690.48,14
DOT,Department of Transportation,Transit Silver Spring Ride On,M,54199.95,6786.46,,15
DOT,Department of Transportation,Highway Services,M,53252.96,6782.08,,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,56097.49,6781.12,,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,47231.51,6754.02,,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,63986.32,6702.82,,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,56097.49,6701.93,,15
DOT,Department of Transportation,Highway Services,M,52028.44,6692.13,,14
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,69604,6682.39,2073.76,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,50596.23,6671.88,,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,61453.99,6641.84,,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,57505.25,6631.79,,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,63606.67,6626.95,,15
DOT,Department of Transportation,Transit Nicholson Ride On,F,69604,6625.79,,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,54199.95,6621.66,,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,44091.59,6600.41,,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,42601,6578.51,,15
DOT,Department of Transportation,Transit Safety and Instruction,M,53772.95,6516.28,,19
DOT,Department of Transportation,Highway Services,M,66446,6515.19,1980.16,14
DOT,Department of Transportation,Transit Gaithersburg Ride On,F,49604.62,6496.07,,15
DOT,Department of Transportation,Transit Nicholson Ride On,M,61453.99,6446.39,,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,69604,6438.5,4207.84,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,45634.8,6424.75,,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,42601,6406.55,,15
DOT,Department of Transportation,Transit Silver Spring Ride On,F,50596.23,6391.01,,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,69604,6384.48,4207.84,15
DOT,Department of Transportation,Highway Services,M,43805.97,6379.7,,14
DOT,Department of Transportation,Transit Silver Spring Ride On,M,69604,6363.6,2073.76,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,45634.8,6351.95,,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,56097.49,6345.05,,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,45634.8,6304.76,,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,45634.8,6300.59,,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,45634.8,6296.79,,15
DOT,Department of Transportation,Highway Services,M,54630.46,6296.43,,15
DOT,Department of Transportation,DOT 50 Transit Silver Spring Ride On,M,48885.23,6293.33,,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,44092.04,6284,,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,48884.5,6256.73,,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,54199.94,6162.47,,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,50595.83,6155.6,,15
DOT,Department of Transportation,Transportation Technical Center,M,67971.13,6148.61,,18
DOT,Department of Transportation,Transit Silver Spring Ride On,M,69604,6116.54,,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,48884.42,6112.48,,15
DOT,Department of Transportation,Highway Administration,M,70520.14,6109.2,,19
DOT,Department of Transportation,Transit Silver Spring Ride On,M,54199.94,6106.59,,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,56097.49,6064.01,,15
DOT,Department of Transportation,Transit Silver Spring Ride On,F,45634.8,6051.37,,15
DOT,Department of Transportation,Transit Nicholson Ride On,M,69604,6041.57,2070.43,15
DOT,Department of Transportation,Transit Nicholson Ride On,F,45634.8,6034.53,,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,69604,6017.05,,15
DOT,Department of Transportation,DOT 50 Transit Silver Spring Ride On,M,50596.23,6011.67,,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,48884.42,6011.1,,15
DOT,Department of Transportation,Transit Silver Spring Ride On,F,83615.28,5966.25,,21
DOT,Department of Transportation,Highway Services,M,36240,5934.98,,11
DOT,Department of Transportation,Transit Silver Spring Ride On,F,44092.04,5927.29,,15
DOT,Department of Transportation,Transportation Management,M,72522.88,5880.15,,23
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,44091.59,5847.61,,15
DOT,Department of Transportation,Transit Silver Spring Ride On,F,45634.8,5844.76,,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,44091.59,5837.85,,15
DOT,Department of Transportation,Transit Silver Spring Ride On,F,56097.49,5821.07,,15
DOT,Department of Transportation,DOT 50 Transit Nicholson Ride On,M,58060.11,5810.13,,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,50596.23,5768.7,,15
DOT,Department of Transportation,Parking Management Engineering and Capital Project Management,M,51339.12,5760.98,,12
DOT,Department of Transportation,Transit Silver Spring Ride On,M,54200.48,5756.84,,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,44091.59,5753.64,,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,54200.48,5740.49,,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,48884.5,5703.67,,15
DOT,Department of Transportation,Transit Silver Spring Ride On,F,44091.59,5672.43,,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,52367.1,5654.94,,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,45634.8,5640.54,,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,57776.16,5630.18,,15
DOT,Department of Transportation,Transit Nicholson Ride On,M,83931,5615.48,,19
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,50595.83,5611.36,,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,45634.8,5608.28,,15
DOT,Department of Transportation,Highway Services,M,36240,5598.63,,11
DOT,Department of Transportation,Highway Administration,M,68556.75,5573.07,,19
DOT,Department of Transportation,Highway Services,M,66353.05,5563.84,,15
DOT,Department of Transportation,Parking Management Engineering and Capital Project Management,M,56745.09,5559.8,,15
DOT,Department of Transportation,Transit Nicholson Ride On,M,65832.91,5541.28,,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,52367.1,5539.6,,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,F,44092.04,5533.69,,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,47231.51,5526.26,,15
DOT,Department of Transportation,Highway Services,M,101350,5469.48,2013.44,23
DOT,Department of Transportation,Transit Safety and Instruction,M,92211,5459.73,835.52,21
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,50595.83,5448.23,,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,44091.59,5430.99,,15
DOT,Department of Transportation,Transit Silver Spring Ride On,F,67599.39,5400.95,,17
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,63604.88,5397.89,,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,50596.23,5393,,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,F,63606.67,5355.51,,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,F,45634.8,5352.81,,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,F,44959.73,5336.22,,15
DOT,Department of Transportation,Highway Services,M,69604,5279.69,2073.76,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,47231.51,5271.63,,15
DOT,Department of Transportation,Highway Services,M,58060.12,5259.87,,14
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,61453.99,5244.32,,15
DOT,Department of Transportation,Highway Services,M,101350,5244.16,,23
DOT,Department of Transportation,DOT 50 Transit Silver Spring Ride On,M,45634.8,5242.73,,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,47231.51,5240.38,,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,69604,5232.75,4207.84,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,69604,5226.16,2073.76,15
DOT,Department of Transportation,Transit Nicholson Ride On,M,64216.66,5150.73,,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,F,54199.94,5136.24,,15
DOT,Department of Transportation,Transit Safety and Instruction,M,63366.91,5095.25,,19
DOT,Department of Transportation,Transit Silver Spring Ride On,M,58060.12,5060.57,,15
DOT,Department of Transportation,Transit Nicholson Ride On,M,50595.83,5049.38,,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,63606.67,5035.84,,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,45634.8,5023.06,,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,80538.67,5020.21,,19
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,48884.49,5011.02,,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,69604,5007.03,3149.12,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,45634.8,4997.23,,15
DOT,Department of Transportation,DOT 50 Transit Silver Spring Ride On,M,48884.86,4972.56,,15
DOT,Department of Transportation,Highway Services,M,66446,4931,4017.52,14
DOT,Department of Transportation,Transit Silver Spring Ride On,M,64413.46,4925.82,1238.56,15
DOT,Department of Transportation,Transportation Technical Center,M,43071.53,4903.2,,14
DOT,Department of Transportation,Transit Silver Spring Ride On,M,45634.8,4899.69,,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,45634.8,4887.58,,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,44092.04,4873.15,,15
DOT,Department of Transportation,DOT 50 Highway Services,M,46925.01,4851.69,,14
DOT,Department of Transportation,Transit Nicholson Ride On,F,45634.8,4840.84,,15
DOT,Department of Transportation,Highway Services,M,66446,4787.69,767.2,14
DOT,Department of Transportation,Transportation Construction Section,M,101350,4787.4,,23
DOT,Department of Transportation,DOT 50 Transit Gaithersburg Ride On,M,69604,4779.53,2073.76,15
DOT,Department of Transportation,Highway Services,M,47344.96,4771.18,,14
DOT,Department of Transportation,Transit Nicholson Ride On,M,54200.48,4767.72,,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,F,54199.94,4761.22,,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,F,45634.8,4700.34,,15
DOT,Department of Transportation,Transit Nicholson Ride On,M,69604,4687.64,1440.16,15
DOT,Department of Transportation,Transit Nicholson Ride On,M,52734,4685.98,,9
DOT,Department of Transportation,Transit Silver Spring Ride On,M,66821.26,4684.87,,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,50596.23,4680.45,,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,50596.23,4626.38,,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,61452.95,4619.14,,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,47231.51,4608.39,,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,59620.53,4564.47,,17
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,45634.8,4533.86,,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,63606.67,4529.51,,15
DOT,Department of Transportation,DOT 50 Highway Services,M,78569.89,4516.54,,18
DOT,Department of Transportation,Transit Nicholson Ride On,M,101786.77,4515.44,,25
DOT,Department of Transportation,Transit Nicholson Ride On,M,52367.1,4450.52,,15
DOT,Department of Transportation,Transit Nicholson Ride On,F,92211,4389,,21
DOT,Department of Transportation,Transit Gaithersburg Ride On,F,47231.5,4312.24,,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,F,42601,4291.86,,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,58060.91,4290.62,,15
DOT,Department of Transportation,Transit Silver Spring Ride On,F,45634.8,4276.75,,15
DOT,Department of Transportation,Transit Nicholson Ride On,F,63606.67,4269.74,,15
DOT,Department of Transportation,DOT 50 Highway Services,M,49002.02,4264.54,,14
DOT,Department of Transportation,Transit Nicholson Ride On,F,50596.23,4254.17,,15
DOT,Department of Transportation,Transit Nicholson Ride On,F,69158.31,4253.92,,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,F,69604,4250.81,,15
DOT,Department of Transportation,Transit Nicholson Ride On,F,45634.8,4248.18,,15
DOT,Department of Transportation,DOT 50 Transit Silver Spring Ride On,M,47231.51,4224.9,,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,F,52367.1,4222.95,,15
DOT,Department of Transportation,Parking Management Engineering and Capital Project Management,M,82551.99,4198.23,,22
DOT,Department of Transportation,Transit Nicholson Ride On,M,61453.99,4186.27,,15
DOT,Department of Transportation,Transit Nicholson Ride On,M,47231.51,4159.32,,15
DOT,Department of Transportation,Transit Nicholson Ride On,M,47231.51,4144.38,,15
DOT,Department of Transportation,Transit Silver Spring Ride On,F,52367.1,4135.09,,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,69604,4124.52,4207.84,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,69604,4110.32,2073.76,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,44091.59,4079.13,,15
DOT,Department of Transportation,Transit Nicholson Ride On,F,58060.91,4044.99,,15
DOT,Department of Transportation,Transit Management Services,M,101350,4044.07,,23
DOT,Department of Transportation,Transit Nicholson Ride On,M,61453.99,4043.44,,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,48884.5,4000.44,,15
DOT,Department of Transportation,Transit Nicholson Ride On,F,45634.8,3997.88,,15
DOT,Department of Transportation,DOT 50 Transportation Management,M,55655.85,3996.59,,19
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,52367.1,3983.8,,15
DOT,Department of Transportation,Transit Nicholson Ride On,M,52367.1,3978.27,,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,52367.1,3973.32,,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,56097.49,3969.74,,15
DOT,Department of Transportation,Transit Nicholson Ride On,M,61453.99,3950.1,,15
DOT,Department of Transportation,Highway Administration,M,83931,3935.87,,19
DOT,Department of Transportation,Transit Nicholson Ride On,M,50595.83,3918.41,,15
DOT,Department of Transportation,Transit Silver Spring Ride On,F,45634.8,3917.87,,15
DOT,Department of Transportation,DOT 50 Highway Services,M,49526.66,3893.15,,14
DOT,Department of Transportation,Transit Silver Spring Ride On,M,61453.99,3878.88,,15
DOT,Department of Transportation,DOT 50 Transit Silver Spring Ride On,M,53137.72,3875.97,,15
DOT,Department of Transportation,DOT 50 Highway Services,M,43805.46,3871.91,,14
DOT,Department of Transportation,DOT 50 Transit Silver Spring Ride On,M,45634.31,3865.3,,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,61453.99,3862.31,,15
DOT,Department of Transportation,DOT 50 Transit Silver Spring Ride On,M,54200.48,3860.51,,15
DOT,Department of Transportation,DOT 50 Transit Silver Spring Ride On,M,63606.68,3847.67,,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,69604,3825.66,2069.51,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,61453.99,3823.29,,15
DOT,Department of Transportation,Transit Nicholson Ride On,F,56097.48,3789.07,,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,45634.8,3778.5,,15
DOT,Department of Transportation,DOT 50 Transportation Technical Center,M,80086,3771.48,536.39,18
DOT,Department of Transportation,Transit Silver Spring Ride On,M,66821.23,3766.45,,15
DOT,Department of Transportation,Transit Silver Spring Ride On,F,101431.79,3765.55,,25
DOT,Department of Transportation,Parking Management Engineering and Capital Project Management,M,80086,3759.85,,18
DOT,Department of Transportation,Transit Nicholson Ride On,M,70252.72,3744.79,,21
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,47231.51,3736.58,,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,44092.04,3713.64,,15
DOT,Department of Transportation,DOT 50 Transit Silver Spring Ride On,M,44092.04,3704.75,,15
DOT,Department of Transportation,Transit Silver Spring Ride On,F,66821.25,3699.41,,15
DOT,Department of Transportation,Transportation Technical Center,M,45505.94,3684.85,,14
DOT,Department of Transportation,DOT 50 Transit Silver Spring Ride On,M,44092.04,3677.56,,15
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,54200.51,3676.87,,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,76419,3675.11,176.48,17
DOT,Department of Transportation,Transit Nicholson Ride On,M,45634.8,3664.8,,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,56097.49,3661.72,,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,92211,3654.55,,21
DOT,Department of Transportation,Transit Silver Spring Ride On,F,50595.83,3634.59,,15
DOT,Department of Transportation,Highway Services,F,89294.63,3631.26,,23
DOT,Department of Transportation,Transit Silver Spring Ride On,M,69604,3604.89,2073.76,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,56097.49,3578.23,,15
DOT,Department of Transportation,Transit Nicholson Ride On,M,54200.48,3574.67,,15
DOT,Department of Transportation,Transit Silver Spring Ride On,M,48884.5,3552.76,,15
DOT,Department of Transportation,Highway Services,M,96522.96,3528.75,,23
DOT,Department of Transportation,Sign and Marking Shop,M,65823.51,3521.83,,19
DOT,Department of Transportation,Transit Gaithersburg Ride On,M,50596.22,3517.89,,15
DOT,Department of Transportation,Highway Services,M,96522.96,3490.58,,23
DOT,Department of Transportation,Sign and Marking Shop,M,40392.95,3472.07,,12
DOT,Department of Transportation,Transit Nicholson Ride On,M,61453.99,3441.78,,15
